"Label (Grouping)","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","San Antonio city, Texas!!Estimate","San Antonio city, Texas!!Margin of Error","San Antonio city, Texas!!Percent","San Antonio city, Texas!!Percent Margin of Error"
"        Construction","1,253,160","±25,290","9.1%","±0.2","67,718","±7,024","9.1%","±0.9"
"        Manufacturing","1,173,051","±21,926","8.5%","±0.2","34,556","±3,769","4.6%","±0.5"
"        Wholesale trade","381,309","±13,543","2.8%","±0.1","15,641","±2,430","2.1%","±0.3"
"        Retail trade","1,543,696","±27,775","11.2%","±0.2","91,295","±6,795","12.2%","±0.9"
"        Transportation and warehousing, and utilities","841,990","±23,008","6.1%","±0.2","35,846","±4,646","4.8%","±0.6"
"        Information","207,121","±9,876","1.5%","±0.1","10,773","±1,891","1.4%","±0.3"
"        Finance and insurance, and real estate and rental and leasing","926,062","±19,406","6.7%","±0.1","61,575","±5,143","8.3%","±0.7"
"        Professional, scientific, and management, and administrative and waste management services","1,619,451","±25,731","11.7%","±0.2","92,597","±7,001","12.4%","±0.9"
"        Educational services, and health care and social assistance","2,960,937","±35,697","21.4%","±0.2","170,624","±9,415","22.9%","±1.2"
"        Arts, entertainment, and recreation, and accommodation and food services","1,267,657","±24,844","9.2%","±0.2","93,443","±6,134","12.5%","±0.8"
"        Other services, except public administration","721,350","±18,247","5.2%","±0.1","36,863","±3,873","4.9%","±0.5"
"        Public administration","529,460","±15,665","3.8%","±0.1","28,576","±3,727","3.8%","±0.5"
"CLASS OF WORKER","","","","","","","",""
"    Civilian employed population 16 years and over","13,830,576","±41,164","13,830,576","(X)","745,940","±11,750","745,940","(X)"
"        Private wage and salary workers","11,042,055","±46,276","79.8%","±0.2","607,857","±13,309","81.5%","±1.1"
"        Government workers","1,839,870","±25,002","13.3%","±0.2","93,677","±6,338","12.6%","±0.8"
"        Self-employed in own not incorporated business workers","910,897","±23,054","6.6%","±0.2","42,671","±5,209","5.7%","±0.7"
"        Unpaid family workers","37,754","±3,627","0.3%","±0.1","1,735","±622","0.2%","±0.1"
"INCOME AND BENEFITS (IN 2019 INFLATION-ADJUSTED DOLLARS)","","","","","","","",""
"    Total households","9,985,126","±25,440","9,985,126","(X)","512,273","±5,781","512,273","(X)"
"        Less than $10,000","592,805","±16,877","5.9%","±0.2","38,063","±3,868","7.4%","±0.7"
"        $10,000 to $14,999","372,516","±10,365","3.7%","±0.1","22,365","±3,262","4.4%","±0.6"
"        $15,000 to $24,999","845,360","±20,437","8.5%","±0.2","52,134","±4,291","10.2%","±0.8"
"        $25,000 to $34,999","853,384","±17,746","8.5%","±0.2","52,284","±4,328","10.2%","±0.9"
"        $35,000 to $49,999","1,229,359","±19,571","12.3%","±0.2","73,317","±5,791","14.3%","±1.1"
"        $50,000 to $74,999","1,786,280","±23,739","17.9%","±0.2","99,271","±5,134","19.4%","±1.0"
"        $75,000 to $99,999","1,264,129","±19,514","12.7%","±0.2","63,908","±4,606","12.5%","±0.9"
"        $100,000 to $149,999","1,545,073","±20,270","15.5%","±0.2","64,677","±4,535","12.6%","±0.9"
"        $150,000 to $199,999","707,336","±16,646","7.1%","±0.2","25,042","±2,631","4.9%","±0.5"
"        $200,000 or more","788,884","±15,472","7.9%","±0.2","21,212","±2,499","4.1%","±0.5"
"        Median household income (dollars)","64,034","±500","(X)","(X)","53,751","±1,273","(X)","(X)"
"        Mean household income (dollars)","89,681","±598","(X)","(X)","72,587","±1,896","(X)","(X)"
"        With earnings","8,217,405","±32,477","82.3%","±0.2","413,823","±5,675","80.8%","±0.9"
"            Mean earnings (dollars)","89,653","±618","(X)","(X)","70,848","±1,884","(X)","(X)"
"        With Social Security","2,596,183","±16,391","26.0%","±0.2","140,231","±4,603","27.4%","±0.9"
"            Mean Social Security income (dollars)","19,059","±116","(X)","(X)","16,752","±488","(X)","(X)"
"        With retirement income","1,907,616","±18,557","19.1%","±0.2","100,260","±4,712","19.6%","±0.9"
"            Mean retirement income (dollars)","27,836","±481","(X)","(X)","28,189","±2,612","(X)","(X)"
"        With Supplemental Security Income","441,177","±11,977","4.4%","±0.1","32,708","±3,327","6.4%","±0.6"
"            Mean Supplemental Security Income (dollars)","9,484","±166","(X)","(X)","9,009","±536","(X)","(X)"
"        With cash public assistance income","137,099","±6,782","1.4%","±0.1","9,309","±1,821","1.8%","±0.4"
"            Mean cash public assistance income (dollars)","2,750","±169","(X)","(X)","2,016","±448","(X)","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","1,080,895","±21,298","10.8%","±0.2","79,883","±5,210","15.6%","±1.0"
"    Families","6,857,641","±33,760","6,857,641","(X)","319,673","±6,685","319,673","(X)"
"        Less than $10,000","266,068","±11,354","3.9%","±0.2","15,612","±2,488","4.9%","±0.8"
"        $10,000 to $14,999","161,532","±7,590","2.4%","±0.1","9,097","±2,037","2.8%","±0.6"
"        $15,000 to $24,999","446,638","±15,625","6.5%","±0.2","27,773","±2,983","8.7%","±0.9"
"        $25,000 to $34,999","512,013","±13,460","7.5%","±0.2","29,951","±3,253","9.4%","±1.0"
"        $35,000 to $49,999","774,570","±18,642","11.3%","±0.3","45,509","±4,571","14.2%","±1.4"
"        $50,000 to $74,999","1,191,260","±20,606","17.4%","±0.3","57,963","±3,863","18.1%","±1.2"
"        $75,000 to $99,999","950,309","±17,757","13.9%","±0.2","45,022","±4,179","14.1%","±1.3"
"        $100,000 to $149,999","1,259,898","±17,766","18.4%","±0.3","49,760","±3,930","15.6%","±1.2"
"        $150,000 to $199,999","602,514","±15,189","8.8%","±0.2","20,598","±2,443","6.4%","±0.8"
"        $200,000 or more","692,839","±14,307","10.1%","±0.2","18,388","±2,448","5.8%","±0.8"
"        Median family income (dollars)","76,727","±583","(X)","(X)","63,605","±2,724","(X)","(X)"
"        Mean family income (dollars)","103,203","±793","(X)","(X)","84,348","±2,913","(X)","(X)"
"    Per capita income (dollars)","32,267","±224","(X)","(X)","26,826","±693","(X)","(X)"
"    Nonfamily households","3,127,485","±29,141","3,127,485","(X)","192,600","±7,069","192,600","(X)"
"        Median nonfamily income (dollars)","40,389","±380","(X)","(X)","38,848","±2,123","(X)","(X)"
"        Mean nonfamily income (dollars)","55,749","±622","(X)","(X)","49,394","±1,866","(X)","(X)"
"    Median earnings for workers (dollars)","35,329","±199","(X)","(X)","30,874","±527","(X)","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","51,125","±229","(X)","(X)","41,454","±1,018","(X)","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","40,670","±276","(X)","(X)","36,798","±745","(X)","(X)"
"HEALTH INSURANCE COVERAGE","","","","","","","",""
"    Civilian noninstitutionalized population","28,514,428","±5,539","28,514,428","(X)","1,528,917","±2,347","1,528,917","(X)"
"        With health insurance coverage","23,280,468","±66,925","81.6%","±0.2","1,245,964","±16,146","81.5%","±1.0"
"            With private health insurance","17,618,553","±82,043","61.8%","±0.3","891,305","±21,182","58.3%","±1.4"
"            With public coverage","8,076,243","±52,937","28.3%","±0.2","497,256","±14,785","32.5%","±1.0"
"        No health insurance coverage","5,233,960","±66,634","18.4%","±0.2","282,953","±15,803","18.5%","±1.0"
"    Civilian noninstitutionalized population under 19 years","7,808,139","±10,738","7,808,139","(X)","400,557","±6,351","400,557","(X)"
"        No health insurance coverage","995,324","±25,176","12.7%","±0.3","40,420","±6,554","10.1%","±1.6"
"    Civilian noninstitutionalized population 19 to 64 years","17,052,965","±13,139","17,052,965","(X)","935,311","±6,540","935,311","(X)"
"        In labor force:","13,342,942","±35,584","13,342,942","(X)","728,329","±11,034","728,329","(X)"
"            Employed:","12,791,047","±38,453","12,791,047","(X)","695,773","±11,421","695,773","(X)"
"                With health insurance coverage","10,009,912","±60,782","78.3%","±0.3","535,769","±15,228","77.0%","±1.5"
"                    With private health insurance","9,608,953","±58,345","75.1%","±0.3","508,647","±15,719","73.1%","±1.5"
"                    With public coverage","668,824","±17,586","5.2%","±0.1","45,767","±4,569","6.6%","±0.7"
"                No health insurance coverage","2,781,135","±39,771","21.7%","±0.3","160,004","±9,873","23.0%","±1.5"
"            Unemployed:","551,895","±15,396","551,895","(X)","32,556","±3,624","32,556","(X)"
"                With health insurance coverage","281,496","±10,183","51.0%","±1.4","15,214","±2,336","46.7%","±6.3"
"                    With private health insurance","212,728","±8,859","38.5%","±1.3","11,392","±2,047","35.0%","±5.8"
"                    With public coverage","84,640","±5,736","15.3%","±1.0","5,900","±1,768","18.1%","±5.1"
"                No health insurance coverage","270,399","±11,651","49.0%","±1.4","17,342","±3,140","53.3%","±6.3"
"        Not in labor force:","3,710,023","±33,724","3,710,023","(X)","206,982","±10,603","206,982","(X)"
"            With health insurance coverage","2,587,809","±28,529","69.8%","±0.5","145,381","±8,493","70.2%","±2.8"
"                With private health insurance","1,786,313","±22,032","48.1%","±0.5","86,965","±5,293","42.0%","±2.5"
"                With public coverage","996,979","±20,505","26.9%","±0.5","75,919","±6,574","36.7%","±2.4"
"            No health insurance coverage","1,122,214","±22,947","30.2%","±0.5","61,601","±7,226","29.8%","±2.8"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","","","",""
"    All families","(X)","(X)","10.5%","±0.2","(X)","(X)","13.3%","±1.2"
"        With related children of the householder under 18 years","(X)","(X)","15.5%","±0.4","(X)","(X)","20.1%","±2.1"
"            With related children of the householder under 5 years only","(X)","(X)","14.9%","±1.0","(X)","(X)","13.6%","±4.0"
"        Married couple families","(X)","(X)","5.5%","±0.2","(X)","(X)","7.0%","±1.1"
"            With related children of the householder under 18 years","(X)","(X)","7.2%","±0.4","(X)","(X)","9.4%","±2.0"
"                With related children of the householder under 5 years only","(X)","(X)","6.1%","±0.8","(X)","(X)","3.2%","±2.1"
"        Families with female householder, no spouse present","(X)","(X)","27.9%","±0.8","(X)","(X)","27.3%","±2.9"
"            With related children of the householder under 18 years","(X)","(X)","37.0%","±1.1","(X)","(X)","37.5%","±4.3"
"                With related children of the householder under 5 years only","(X)","(X)","39.2%","±2.9","(X)","(X)","30.3%","±9.4"
"    All people","(X)","(X)","13.6%","±0.2","(X)","(X)","16.8%","±1.3"
"        Under 18 years","(X)","(X)","19.2%","±0.5","(X)","(X)","25.6%","±2.7"
"            Related children of the householder under 18 years","(X)","(X)","18.9%","±0.5","(X)","(X)","25.2%","±2.7"
"                Related children of the householder under 5 years","(X)","(X)","21.4%","±0.8","(X)","(X)","25.6%","±3.9"
"                Related children of the householder 5 to 17 years","(X)","(X)","18.0%","±0.6","(X)","(X)","25.1%","±3.0"
"        18 years and over","(X)","(X)","11.7%","±0.2","(X)","(X)","13.9%","±1.1"
"            18 to 64 years","(X)","(X)","11.9%","±0.2","(X)","(X)","14.0%","±1.2"
"            65 years and over","(X)","(X)","10.6%","±0.3","(X)","(X)","13.6%","±1.8"
"        People in families","(X)","(X)","11.6%","±0.3","(X)","(X)","14.9%","±1.4"
"        Unrelated individuals 15 years and over","(X)","(X)","24.0%","±0.5","(X)","(X)","24.2%","±2.2"
