"Label (Grouping)","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","San Antonio city, Texas!!Estimate","San Antonio city, Texas!!Margin of Error","San Antonio city, Texas!!Percent","San Antonio city, Texas!!Percent Margin of Error"
"        Government workers","1,985,990","±37,354","14.4%","±0.3","102,409","±6,170","15.1%","±0.9"
"        Self-employed in own not incorporated business workers","953,003","±23,446","6.9%","±0.2","46,328","±4,779","6.8%","±0.7"
"        Unpaid family workers","28,913","±3,963","0.2%","±0.1","657","±435","0.1%","±0.1"
"INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)","","","","","","","",""
"    Total households","10,796,247","±19,104","10,796,247","(X)","549,245","±5,787","549,245","(X)"
"        Less than $10,000","657,665","±16,538","6.1%","±0.2","39,780","±3,239","7.2%","±0.6"
"        $10,000 to $14,999","396,139","±13,654","3.7%","±0.1","23,060","±2,437","4.2%","±0.4"
"        $15,000 to $24,999","840,064","±19,550","7.8%","±0.2","52,111","±3,658","9.5%","±0.6"
"        $25,000 to $34,999","895,771","±19,092","8.3%","±0.2","56,616","±4,099","10.3%","±0.7"
"        $35,000 to $49,999","1,274,316","±24,226","11.8%","±0.2","76,670","±5,402","14.0%","±1.0"
"        $50,000 to $74,999","1,873,782","±29,157","17.4%","±0.3","104,786","±5,992","19.1%","±1.0"
"        $75,000 to $99,999","1,350,508","±21,067","12.5%","±0.2","66,574","±4,946","12.1%","±0.9"
"        $100,000 to $149,999","1,730,448","±25,925","16.0%","±0.2","73,015","±4,271","13.3%","±0.8"
"        $150,000 to $199,999","821,602","±19,707","7.6%","±0.2","31,003","±3,150","5.6%","±0.6"
"        $200,000 or more","955,952","±16,242","8.9%","±0.1","25,630","±2,888","4.7%","±0.5"
"        Median household income (dollars)","66,963","±513","(X)","(X)","54,923","±1,579","(X)","(X)"
"        Mean household income (dollars)","93,668","±579","(X)","(X)","74,838","±1,899","(X)","(X)"
"        With earnings","8,848,153","±29,297","82.0%","±0.2","450,509","±6,026","82.0%","±0.8"
"            Mean earnings (dollars)","93,714","±596","(X)","(X)","72,842","±2,089","(X)","(X)"
"        With Social Security","2,743,212","±19,054","25.4%","±0.2","139,402","±5,315","25.4%","±0.9"
"            Mean Social Security income (dollars)","20,161","±140","(X)","(X)","18,111","±590","(X)","(X)"
"        With retirement income","2,075,616","±24,362","19.2%","±0.2","105,055","±4,604","19.1%","±0.9"
"            Mean retirement income (dollars)","28,671","±659","(X)","(X)","26,029","±1,503","(X)","(X)"
"        With Supplemental Security Income","493,650","±14,470","4.6%","±0.1","34,523","±2,620","6.3%","±0.5"
"            Mean Supplemental Security Income (dollars)","9,887","±181","(X)","(X)","9,682","±507","(X)","(X)"
"        With cash public assistance income","307,390","±11,109","2.8%","±0.1","19,093","±3,021","3.5%","±0.6"
"            Mean cash public assistance income (dollars)","5,276","±302","(X)","(X)","4,416","±1,484","(X)","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","1,317,664","±21,782","12.2%","±0.2","100,632","±5,237","18.3%","±1.0"
"    Families","7,373,185","±33,414","7,373,185","(X)","355,461","±6,754","355,461","(X)"
"        Less than $10,000","302,720","±11,404","4.1%","±0.2","18,581","±2,394","5.2%","±0.7"
"        $10,000 to $14,999","174,568","±9,786","2.4%","±0.1","10,358","±2,078","2.9%","±0.6"
"        $15,000 to $24,999","423,462","±12,222","5.7%","±0.2","25,176","±2,613","7.1%","±0.7"
"        $25,000 to $34,999","517,646","±15,582","7.0%","±0.2","32,945","±3,069","9.3%","±0.9"
"        $35,000 to $49,999","795,501","±18,628","10.8%","±0.2","50,609","±5,134","14.2%","±1.5"
"        $50,000 to $74,999","1,246,298","±27,358","16.9%","±0.4","65,377","±5,223","18.4%","±1.3"
"        $75,000 to $99,999","996,660","±19,965","13.5%","±0.3","47,248","±3,842","13.3%","±1.0"
"        $100,000 to $149,999","1,383,045","±23,472","18.8%","±0.3","57,391","±3,954","16.1%","±1.1"
"        $150,000 to $199,999","698,439","±18,007","9.5%","±0.2","25,001","±2,949","7.0%","±0.8"
"        $200,000 or more","834,846","±16,500","11.3%","±0.2","22,775","±2,842","6.4%","±0.8"
"        Median family income (dollars)","80,304","±657","(X)","(X)","66,015","±1,979","(X)","(X)"
"        Mean family income (dollars)","107,778","±752","(X)","(X)","86,848","±2,837","(X)","(X)"
"    Per capita income (dollars)","34,717","±230","(X)","(X)","28,860","±681","(X)","(X)"
"    Nonfamily households","3,423,062","±31,312","3,423,062","(X)","193,784","±6,582","193,784","(X)"
"        Median nonfamily income (dollars)","41,190","±458","(X)","(X)","37,383","±1,554","(X)","(X)"
"        Mean nonfamily income (dollars)","58,904","±889","(X)","(X)","48,727","±1,680","(X)","(X)"
"    Median earnings for workers (dollars)","38,059","±349","(X)","(X)","32,058","±604","(X)","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","56,100","±473","(X)","(X)","49,505","±2,328","(X)","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","45,393","±452","(X)","(X)","40,483","±1,032","(X)","(X)"
"HEALTH INSURANCE COVERAGE","","","","","","","",""
"    Civilian noninstitutionalized population","29,066,872","±6,662","29,066,872","(X)","1,429,196","±8,687","1,429,196","(X)"
"        With health insurance coverage","23,842,828","±67,206","82.0%","±0.2","1,169,469","±13,518","81.8%","±0.8"
"            With private health insurance","17,857,601","±100,045","61.4%","±0.3","802,513","±17,284","56.2%","±1.2"
"            With public coverage","8,632,799","±67,185","29.7%","±0.2","499,839","±14,181","35.0%","±1.0"
"        No health insurance coverage","5,224,044","±67,736","18.0%","±0.2","259,727","±12,272","18.2%","±0.8"
"    Civilian noninstitutionalized population under 19 years","7,866,540","±12,810","7,866,540","(X)","374,369","±5,808","374,369","(X)"
"        No health insurance coverage","929,980","±28,707","11.8%","±0.4","31,561","±4,817","8.4%","±1.3"
"    Civilian noninstitutionalized population 19 to 64 years","17,373,420","±15,267","17,373,420","(X)","867,783","±9,308","867,783","(X)"
"        In labor force:","13,559,481","±39,966","13,559,481","(X)","678,198","±9,599","678,198","(X)"
"            Employed:","12,737,168","±39,855","12,737,168","(X)","628,745","±9,714","628,745","(X)"
"                With health insurance coverage","10,074,137","±50,737","79.1%","±0.3","484,137","±11,562","77.0%","±1.3"
"                    With private health insurance","9,613,287","±52,977","75.5%","±0.3","453,689","±12,105","72.2%","±1.4"
"                    With public coverage","818,718","±19,364","6.4%","±0.2","51,088","±4,275","8.1%","±0.7"
"                No health insurance coverage","2,663,031","±38,641","20.9%","±0.3","144,608","±7,891","23.0%","±1.3"
"            Unemployed:","822,313","±22,878","822,313","(X)","49,453","±4,283","49,453","(X)"
"                With health insurance coverage","431,586","±16,263","52.5%","±1.4","26,154","±3,551","52.9%","±4.8"
"                    With private health insurance","320,497","±13,335","39.0%","±1.3","18,775","±2,840","38.0%","±4.8"
"                    With public coverage","134,758","±8,989","16.4%","±1.0","9,580","±2,357","19.4%","±4.2"
"                No health insurance coverage","390,727","±16,379","47.5%","±1.4","23,299","±2,820","47.1%","±4.8"
"        Not in labor force:","3,813,939","±40,472","3,813,939","(X)","189,585","±9,023","189,585","(X)"
"            With health insurance coverage","2,644,350","±34,375","69.3%","±0.5","131,291","±6,809","69.3%","±2.2"
"                With private health insurance","1,834,730","±31,914","48.1%","±0.6","74,244","±5,789","39.2%","±2.5"
"                With public coverage","1,014,387","±21,012","26.6%","±0.5","68,625","±5,146","36.2%","±2.2"
"            No health insurance coverage","1,169,589","±23,813","30.7%","±0.5","58,294","±5,420","30.7%","±2.2"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","","","",""
"    All families","(X)","(X)","11.0%","±0.3","(X)","(X)","13.3%","±1.2"
"        With related children of the householder under 18 years","(X)","(X)","15.9%","±0.5","(X)","(X)","20.3%","±2.2"
"            With related children of the householder under 5 years only","(X)","(X)","14.1%","±1.1","(X)","(X)","12.0%","±3.5"
"        Married couple families","(X)","(X)","6.3%","±0.3","(X)","(X)","6.8%","±1.1"
"            With related children of the householder under 18 years","(X)","(X)","8.3%","±0.4","(X)","(X)","10.1%","±2.0"
"                With related children of the householder under 5 years only","(X)","(X)","6.4%","±0.8","(X)","(X)","4.2%","±1.9"
"        Families with female householder, no spouse present","(X)","(X)","27.2%","±0.8","(X)","(X)","28.5%","±3.2"
"            With related children of the householder under 18 years","(X)","(X)","36.3%","±1.2","(X)","(X)","38.6%","±4.7"
"                With related children of the householder under 5 years only","(X)","(X)","38.7%","±3.4","(X)","(X)","34.5%","±12.1"
"    All people","(X)","(X)","14.2%","±0.3","(X)","(X)","17.0%","±1.2"
"        Under 18 years","(X)","(X)","19.6%","±0.6","(X)","(X)","25.1%","±2.6"
"            Related children of the householder under 18 years","(X)","(X)","19.4%","±0.6","(X)","(X)","24.9%","±2.6"
"                Related children of the householder under 5 years","(X)","(X)","21.2%","±0.9","(X)","(X)","24.5%","±4.0"
"                Related children of the householder 5 to 17 years","(X)","(X)","18.7%","±0.7","(X)","(X)","25.1%","±2.7"
"        18 years and over","(X)","(X)","12.4%","±0.2","(X)","(X)","14.3%","±0.8"
"            18 to 64 years","(X)","(X)","12.6%","±0.2","(X)","(X)","14.8%","±1.0"
"            65 years and over","(X)","(X)","11.8%","±0.3","(X)","(X)","12.3%","±1.4"
"        People in families","(X)","(X)","12.3%","±0.3","(X)","(X)","15.0%","±1.5"
"        Unrelated individuals 15 years and over","(X)","(X)","23.9%","±0.4","(X)","(X)","25.2%","±1.7"
