"Label (Grouping)","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","San Antonio city, Texas!!Estimate","San Antonio city, Texas!!Margin of Error","San Antonio city, Texas!!Percent","San Antonio city, Texas!!Percent Margin of Error"
"        $15,000 to $24,999","560,088","±13,769","8.6%","±0.2","30,522","±2,626","9.5%","±0.8"
"        $25,000 to $34,999","602,430","±12,312","9.2%","±0.2","34,222","±3,105","10.7%","±0.9"
"        $35,000 to $49,999","842,685","±17,067","12.9%","±0.3","47,859","±4,227","15.0%","±1.3"
"        $50,000 to $74,999","1,177,243","±17,225","18.1%","±0.2","64,420","±3,947","20.1%","±1.1"
"        $75,000 to $99,999","863,904","±14,440","13.2%","±0.2","41,664","±3,198","13.0%","±0.9"
"        $100,000 to $149,999","1,048,785","±15,095","16.1%","±0.2","44,008","±3,347","13.8%","±1.1"
"        $150,000 to $199,999","439,791","±10,088","6.7%","±0.2","13,492","±1,587","4.2%","±0.5"
"        $200,000 or more","490,629","±10,126","7.5%","±0.2","13,181","±1,769","4.1%","±0.5"
"        Median family income (dollars)","65,316","±479","(X)","(X)","55,713","±1,603","(X)","(X)"
"        Mean family income (dollars)","89,670","±672","(X)","(X)","73,141","±2,364","(X)","(X)"
"    Per capita income (dollars)","28,210","±155","(X)","(X)","23,748","±653","(X)","(X)"
"    Nonfamily households","2,900,503","±23,635","2,900,503","(X)","174,533","±6,463","174,533","(X)"
"        Median nonfamily income (dollars)","35,525","±354","(X)","(X)","32,859","±2,014","(X)","(X)"
"        Mean nonfamily income (dollars)","50,710","±579","(X)","(X)","46,584","±2,055","(X)","(X)"
"    Median earnings for workers (dollars)","31,038","±116","(X)","(X)","27,074","±557","(X)","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","46,791","±284","(X)","(X)","39,235","±1,631","(X)","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","36,934","±214","(X)","(X)","32,486","±1,529","(X)","(X)"
"HEALTH INSURANCE COVERAGE","","","","","","","",""
"    Civilian noninstitutionalized population","26,990,435","±4,141","26,990,435","(X)","1,451,881","±2,185","1,451,881","(X)"
"        With health insurance coverage","22,375,210","±54,112","82.9%","±0.2","1,214,538","±12,801","83.7%","±0.9"
"            With private health insurance","16,807,856","±71,438","62.3%","±0.3","857,799","±18,251","59.1%","±1.3"
"            With public coverage","7,823,103","±46,111","29.0%","±0.2","491,058","±12,456","33.8%","±0.9"
"        No health insurance coverage","4,615,225","±54,614","17.1%","±0.2","237,343","±12,936","16.3%","±0.9"
"    Civilian noninstitutionalized population under 18 years","7,197,853","±4,697","7,197,853","(X)","371,944","±4,831","371,944","(X)"
"        No health insurance coverage","682,123","±22,558","9.5%","±0.3","26,668","±3,855","7.2%","±1.1"
"    Civilian noninstitutionalized population 18 to 64 years","16,657,157","±7,589","16,657,157","(X)","912,787","±5,260","912,787","(X)"
"        In labor force:","12,667,637","±29,689","12,667,637","(X)","678,449","±8,926","678,449","(X)"
"            Employed:","11,973,082","±30,042","11,973,082","(X)","638,347","±8,904","638,347","(X)"
"                With health insurance coverage","9,533,757","±40,165","79.6%","±0.3","503,633","±10,549","78.9%","±1.3"
"                    With private health insurance","9,119,375","±42,043","76.2%","±0.3","473,697","±10,707","74.2%","±1.4"
"                    With public coverage","656,151","±16,059","5.5%","±0.1","47,611","±3,755","7.5%","±0.6"
"                No health insurance coverage","2,439,325","±34,053","20.4%","±0.3","134,714","±8,764","21.1%","±1.3"
"            Unemployed:","694,555","±17,966","694,555","(X)","40,102","±3,859","40,102","(X)"
"                With health insurance coverage","368,243","±11,068","53.0%","±1.3","21,260","±2,633","53.0%","±6.0"
"                    With private health insurance","272,653","±8,375","39.3%","±1.2","13,912","±1,941","34.7%","±4.6"
"                    With public coverage","109,670","±8,075","15.8%","±1.1","8,617","±1,916","21.5%","±4.5"
"                No health insurance coverage","326,312","±14,030","47.0%","±1.3","18,842","±3,454","47.0%","±6.0"
"        Not in labor force:","3,989,520","±28,724","3,989,520","(X)","234,338","±8,224","234,338","(X)"
"            With health insurance coverage","2,881,872","±25,340","72.2%","±0.5","179,130","±7,770","76.4%","±1.8"
"                With private health insurance","1,977,300","±21,666","49.6%","±0.5","102,291","±6,375","43.7%","±2.1"
"                With public coverage","1,112,729","±19,482","27.9%","±0.4","92,415","±5,818","39.4%","±2.1"
"            No health insurance coverage","1,107,648","±20,920","27.8%","±0.5","55,208","±4,493","23.6%","±1.8"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","","","",""
"    All families","(X)","(X)","12.2%","±0.2","(X)","(X)","14.1%","±1.0"
"        With related children of the householder under 18 years","(X)","(X)","18.2%","±0.4","(X)","(X)","21.1%","±1.6"
"            With related children of the householder under 5 years only","(X)","(X)","15.6%","±1.0","(X)","(X)","21.4%","±4.5"
"    Married couple families","(X)","(X)","6.9%","±0.2","(X)","(X)","7.0%","±0.9"
"        With related children of the householder under 18 years","(X)","(X)","9.5%","±0.4","(X)","(X)","9.7%","±1.5"
"            With related children of the householder under 5 years only","(X)","(X)","6.3%","±0.7","(X)","(X)","10.5%","±4.7"
"    Families with female householder, no husband present","(X)","(X)","30.6%","±0.8","(X)","(X)","29.5%","±2.6"
"        With related children of the householder under 18 years","(X)","(X)","39.9%","±1.1","(X)","(X)","39.3%","±3.5"
"            With related children of the householder under 5 years only","(X)","(X)","41.8%","±2.7","(X)","(X)","36.8%","±7.9"
"    All people","(X)","(X)","15.9%","±0.2","(X)","(X)","17.8%","±1.1"
"    Under 18 years","(X)","(X)","23.0%","±0.5","(X)","(X)","26.5%","±2.1"
"        Related children of the householder under 18 years","(X)","(X)","22.7%","±0.5","(X)","(X)","26.2%","±2.0"
"            Related children of the householder under 5 years","(X)","(X)","24.9%","±0.8","(X)","(X)","28.9%","±3.7"
"            Related children of the householder 5 to 17 years","(X)","(X)","21.9%","±0.5","(X)","(X)","25.2%","±2.2"
"    18 years and over","(X)","(X)","13.3%","±0.2","(X)","(X)","14.8%","±0.9"
"    18 to 64 years","(X)","(X)","13.8%","±0.2","(X)","(X)","15.3%","±1.1"
"    65 years and over","(X)","(X)","10.3%","±0.3","(X)","(X)","12.5%","±1.5"
"        People in families","(X)","(X)","14.0%","±0.3","(X)","(X)","15.8%","±1.1"
"        Unrelated individuals 15 years and over","(X)","(X)","25.5%","±0.3","(X)","(X)","26.8%","±1.8"
