"Label (Grouping)","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","San Antonio city, Texas!!Estimate","San Antonio city, Texas!!Margin of Error","San Antonio city, Texas!!Percent","San Antonio city, Texas!!Percent Margin of Error"
"        Walked","201,154","±7,942","1.6%","±0.1","12,341","±2,431","1.8%","±0.4"
"        Other means","196,199","±8,255","1.5%","±0.1","11,502","±2,383","1.7%","±0.3"
"        Worked at home","618,147","±14,332","4.8%","±0.1","26,202","±3,223","3.8%","±0.5"
"    Mean travel time to work (minutes)","26.5","±0.1","(X)","(X)","24.7","±0.5","(X)","(X)"
"OCCUPATION","","","","","","","",""
"    Civilian employed population 16 years and over","12,927,456","±38,862","12,927,456","(X)","690,390","±11,762","690,390","(X)"
"        Management, business, science, and arts occupations","4,649,880","±36,465","36.0%","±0.3","227,329","±7,643","32.9%","±1.1"
"        Service occupations","2,299,969","±28,667","17.8%","±0.2","142,048","±7,324","20.6%","±1.0"
"        Sales and office occupations","3,053,289","±31,206","23.6%","±0.2","175,989","±7,753","25.5%","±1.1"
"        Natural resources, construction, and maintenance occupations","1,416,915","±22,957","11.0%","±0.2","75,333","±4,979","10.9%","±0.7"
"        Production, transportation, and material moving occupations","1,507,403","±24,093","11.7%","±0.2","69,691","±4,926","10.1%","±0.7"
"INDUSTRY","","","","","","","",""
"    Civilian employed population 16 years and over","12,927,456","±38,862","12,927,456","(X)","690,390","±11,762","690,390","(X)"
"        Agriculture, forestry, fishing and hunting, and mining","354,801","±12,090","2.7%","±0.1","5,922","±1,562","0.9%","±0.2"
"        Construction","1,121,391","±21,249","8.7%","±0.2","59,992","±4,752","8.7%","±0.7"
"        Manufacturing","1,082,507","±18,825","8.4%","±0.1","39,085","±4,496","5.7%","±0.6"
"        Wholesale trade","380,131","±13,044","2.9%","±0.1","12,554","±1,843","1.8%","±0.3"
"        Retail trade","1,479,675","±22,612","11.4%","±0.2","88,707","±6,522","12.8%","±0.9"
"        Transportation and warehousing, and utilities","714,666","±17,015","5.5%","±0.1","31,547","±3,385","4.6%","±0.5"
"        Information","230,634","±9,430","1.8%","±0.1","12,211","±1,986","1.8%","±0.3"
"        Finance and insurance, and real estate and rental and leasing","870,728","±16,861","6.7%","±0.1","59,016","±4,160","8.5%","±0.6"
"        Professional, scientific, and management, and administrative and waste management services","1,471,877","±22,959","11.4%","±0.2","79,452","±5,448","11.5%","±0.8"
"        Educational services, and health care and social assistance","2,826,330","±28,699","21.9%","±0.2","159,009","±7,021","23.0%","±1.0"
"        Arts, entertainment, and recreation, and accommodation and food services","1,204,191","±20,954","9.3%","±0.2","81,765","±6,324","11.8%","±0.9"
"        Other services, except public administration","682,935","±15,232","5.3%","±0.1","33,418","±3,529","4.8%","±0.5"
"        Public administration","507,590","±14,716","3.9%","±0.1","27,712","±3,018","4.0%","±0.4"
"CLASS OF WORKER","","","","","","","",""
"    Civilian employed population 16 years and over","12,927,456","±38,862","12,927,456","(X)","690,390","±11,762","690,390","(X)"
"        Private wage and salary workers","10,352,339","±40,947","80.1%","±0.2","567,393","±11,772","82.2%","±0.9"
"        Government workers","1,664,813","±23,514","12.9%","±0.2","87,365","±5,659","12.7%","±0.8"
"        Self-employed in own not incorporated business workers","885,963","±19,196","6.9%","±0.1","34,774","±3,430","5.0%","±0.5"
"        Unpaid family workers","24,341","±2,715","0.2%","±0.1","858","±515","0.1%","±0.1"
"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS)","","","","","","","",""
"    Total households","9,535,612","±20,125","9,535,612","(X)","498,154","±4,880","498,154","(X)"
"        Less than $10,000","620,911","±13,678","6.5%","±0.1","39,349","±3,571","7.9%","±0.7"
"        $10,000 to $14,999","441,878","±12,387","4.6%","±0.1","26,383","±3,020","5.3%","±0.6"
"        $15,000 to $24,999","936,594","±18,703","9.8%","±0.2","55,716","±3,735","11.2%","±0.8"
"        $25,000 to $34,999","950,732","±18,874","10.0%","±0.2","53,170","±3,360","10.7%","±0.7"
"        $35,000 to $49,999","1,263,610","±21,608","13.3%","±0.2","77,819","±4,900","15.6%","±1.0"
"        $50,000 to $74,999","1,718,272","±22,245","18.0%","±0.2","95,513","±4,588","19.2%","±0.9"
"        $75,000 to $99,999","1,135,586","±15,388","11.9%","±0.2","56,116","±3,629","11.3%","±0.7"
"        $100,000 to $149,999","1,324,482","±18,164","13.9%","±0.2","57,891","±3,548","11.6%","±0.7"
"        $150,000 to $199,999","536,320","±13,530","5.6%","±0.1","17,456","±1,898","3.5%","±0.4"
"        $200,000 or more","607,227","±10,948","6.4%","±0.1","18,741","±2,099","3.8%","±0.4"
"        Median household income (dollars)","56,565","±300","(X)","(X)","49,268","±1,221","(X)","(X)"
"        Mean household income (dollars)","80,346","±412","(X)","(X)","66,058","±1,482","(X)","(X)"
"    With earnings","7,862,978","±25,217","82.5%","±0.2","403,071","±5,563","80.9%","±0.9"
"        Mean earnings (dollars)","81,119","±502","(X)","(X)","65,684","±1,679","(X)","(X)"
"    With Social Security","2,430,535","±15,699","25.5%","±0.2","132,800","±4,414","26.7%","±0.8"
"        Mean Social Security income (dollars)","18,010","±112","(X)","(X)","15,922","±355","(X)","(X)"
"    With retirement income","1,392,073","±15,410","14.6%","±0.2","81,685","±3,830","16.4%","±0.7"
"        Mean retirement income (dollars)","25,284","±481","(X)","(X)","27,064","±1,768","(X)","(X)"
"    With Supplemental Security Income","462,726","±10,982","4.9%","±0.1","33,973","±3,252","6.8%","±0.6"
"        Mean Supplemental Security Income (dollars)","9,131","±138","(X)","(X)","9,525","±451","(X)","(X)"
"    With cash public assistance income","133,764","±5,924","1.4%","±0.1","8,165","±1,420","1.6%","±0.3"
"        Mean cash public assistance income (dollars)","2,703","±156","(X)","(X)","2,441","±426","(X)","(X)"
"    With Food Stamp/SNAP benefits in the past 12 months","1,175,141","±17,921","12.3%","±0.2","72,937","±4,212","14.6%","±0.8"
"    Families","6,602,215","±26,303","6,602,215","(X)","319,194","±6,016","319,194","(X)"
"        Less than $10,000","289,450","±9,302","4.4%","±0.1","17,249","±2,648","5.4%","±0.8"
"        $10,000 to $14,999","205,528","±7,706","3.1%","±0.1","10,804","±1,940","3.4%","±0.6"
"        $15,000 to $24,999","528,058","±12,369","8.0%","±0.2","30,492","±2,775","9.6%","±0.9"
"        $25,000 to $34,999","591,186","±15,012","9.0%","±0.2","32,230","±2,840","10.1%","±0.9"
"        $35,000 to $49,999","835,673","±16,194","12.7%","±0.2","47,846","±3,902","15.0%","±1.2"
"        $50,000 to $74,999","1,190,361","±19,076","18.0%","±0.3","62,111","±3,588","19.5%","±1.1"
"        $75,000 to $99,999","871,145","±14,409","13.2%","±0.2","41,078","±3,156","12.9%","±0.9"
"        $100,000 to $149,999","1,095,854","±17,679","16.6%","±0.3","47,432","±3,229","14.9%","±1.0"
"        $150,000 to $199,999","468,379","±12,187","7.1%","±0.2","14,904","±1,605","4.7%","±0.5"
"        $200,000 or more","526,581","±9,584","8.0%","±0.1","15,048","±1,805","4.7%","±0.6"
"        Median family income (dollars)","67,025","±467","(X)","(X)","57,031","±1,799","(X)","(X)"
"        Mean family income (dollars)","91,361","±535","(X)","(X)","75,419","±2,096","(X)","(X)"
"    Per capita income (dollars)","28,714","±143","(X)","(X)","23,921","±581","(X)","(X)"
"    Nonfamily households","2,933,397","±24,245","2,933,397","(X)","178,960","±6,762","178,960","(X)"
"        Median nonfamily income (dollars)","36,060","±374","(X)","(X)","34,729","±2,014","(X)","(X)"
"        Mean nonfamily income (dollars)","51,892","±724","(X)","(X)","46,144","±2,198","(X)","(X)"
"    Median earnings for workers (dollars)","31,288","±107","(X)","(X)","27,177","±539","(X)","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","47,351","±320","(X)","(X)","38,440","±2,235","(X)","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","37,576","±465","(X)","(X)","34,548","±1,677","(X)","(X)"
"HEALTH INSURANCE COVERAGE","","","","","","","",""
"    Civilian noninstitutionalized population","27,386,023","±4,419","27,386,023","(X)","1,474,531","±2,139","1,474,531","(X)"
"        With health insurance coverage","22,840,643","±55,527","83.4%","±0.2","1,236,476","±13,180","83.9%","±0.9"
"            With private health insurance","17,190,364","±81,167","62.8%","±0.3","908,294","±15,998","61.6%","±1.1"
"            With public coverage","7,987,192","±57,041","29.2%","±0.2","469,192","±12,519","31.8%","±0.9"
"        No health insurance coverage","4,545,380","±55,376","16.6%","±0.2","238,055","±13,383","16.1%","±0.9"
"    Civilian noninstitutionalized population under 18 years","7,282,033","±3,796","7,282,033","(X)","377,397","±5,364","377,397","(X)"
"        No health insurance coverage","670,822","±20,691","9.2%","±0.3","30,591","±4,729","8.1%","±1.3"
"    Civilian noninstitutionalized population 18 to 64 years","16,843,883","±6,944","16,843,883","(X)","924,114","±4,504","924,114","(X)"
"        In labor force:","12,876,798","±32,980","12,876,798","(X)","697,105","±10,145","697,105","(X)"
"            Employed:","12,170,733","±34,941","12,170,733","(X)","655,694","±10,656","655,694","(X)"
"                With health insurance coverage","9,757,876","±43,326","80.2%","±0.3","530,935","±11,666","81.0%","±1.1"
"                    With private health insurance","9,346,849","±43,869","76.8%","±0.3","508,200","±11,950","77.5%","±1.2"
"                    With public coverage","665,336","±16,360","5.5%","±0.1","43,526","±4,085","6.6%","±0.6"
"                No health insurance coverage","2,412,857","±32,582","19.8%","±0.3","124,759","±7,608","19.0%","±1.1"
"            Unemployed:","706,065","±15,992","706,065","(X)","41,411","±3,666","41,411","(X)"
"                With health insurance coverage","384,565","±11,862","54.5%","±1.2","20,938","±2,430","50.6%","±4.5"
"                    With private health insurance","291,935","±9,765","41.3%","±1.1","15,424","±2,155","37.2%","±4.4"
"                    With public coverage","108,545","±7,147","15.4%","±0.9","6,577","±1,473","15.9%","±3.3"
"                No health insurance coverage","321,500","±11,716","45.5%","±1.2","20,473","±2,797","49.4%","±4.5"
"        Not in labor force:","3,967,085","±33,355","3,967,085","(X)","227,009","±9,208","227,009","(X)"
"            With health insurance coverage","2,884,969","±31,016","72.7%","±0.5","167,630","±7,582","73.8%","±2.3"
"                With private health insurance","1,989,647","±25,863","50.2%","±0.6","106,418","±5,990","46.9%","±2.1"
"                With public coverage","1,101,386","±23,401","27.8%","±0.5","78,733","±5,139","34.7%","±2.0"
"            No health insurance coverage","1,082,116","±21,807","27.3%","±0.5","59,379","±6,248","26.2%","±2.3"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","","","",""
"    All families","(X)","(X)","12.0%","±0.2","(X)","(X)","14.8%","±1.1"
"        With related children of the householder under 18 years","(X)","(X)","17.9%","±0.3","(X)","(X)","20.4%","±1.6"
"            With related children of the householder under 5 years only","(X)","(X)","16.0%","±0.9","(X)","(X)","17.1%","±3.9"
"    Married couple families","(X)","(X)","6.8%","±0.2","(X)","(X)","8.2%","±0.9"
"        With related children of the householder under 18 years","(X)","(X)","9.4%","±0.4","(X)","(X)","9.6%","±1.4"
"            With related children of the householder under 5 years only","(X)","(X)","6.8%","±0.8","(X)","(X)","5.0%","±2.4"
"    Families with female householder, no husband present","(X)","(X)","29.8%","±0.7","(X)","(X)","30.5%","±2.8"
"        With related children of the householder under 18 years","(X)","(X)","38.8%","±0.9","(X)","(X)","39.5%","±3.7"
"            With related children of the householder under 5 years only","(X)","(X)","39.7%","±2.0","(X)","(X)","40.6%","±10.1"
"    All people","(X)","(X)","15.6%","±0.2","(X)","(X)","18.5%","±1.1"
"        Under 18 years","(X)","(X)","22.4%","±0.4","(X)","(X)","26.2%","±2.1"
"            Related children of the householder under 18 years","(X)","(X)","22.2%","±0.4","(X)","(X)","25.9%","±2.0"
"                Related children of the householder under 5 years","(X)","(X)","24.3%","±0.7","(X)","(X)","28.9%","±3.5"
"                Related children of the householder 5 to 17 years","(X)","(X)","21.4%","±0.5","(X)","(X)","24.7%","±2.1"
"        18 years and over","(X)","(X)","13.2%","±0.2","(X)","(X)","15.9%","±1.0"
"            18 to 64 years","(X)","(X)","13.7%","±0.2","(X)","(X)","16.4%","±1.0"
"            65 years and over","(X)","(X)","10.5%","±0.3","(X)","(X)","13.4%","±1.5"
"    People in families","(X)","(X)","13.8%","±0.2","(X)","(X)","16.4%","±1.2"
"    Unrelated individuals 15 years and over","(X)","(X)","25.6%","±0.4","(X)","(X)","27.6%","±2.0"
