"Label (Grouping)","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","San Antonio city, Texas!!Estimate","San Antonio city, Texas!!Margin of Error","San Antonio city, Texas!!Percent","San Antonio city, Texas!!Percent Margin of Error"
"    Median earnings for female full-time, year-round workers (dollars)","35,301","±266","(X)","(X)","32,272","±1,329","(X)","(X)"
"HEALTH INSURANCE COVERAGE","","","","","","","",""
"    Civilian noninstitutionalized population","25,197,453","±4,761","25,197,453","(X)","1,338,859","±2,586","1,338,859","(X)"
"    With health insurance coverage","19,407,607","±57,918","77.0%","±0.2","1,048,136","±11,312","78.3%","±0.9"
"        With private health insurance","14,454,069","±60,465","57.4%","±0.2","775,857","±15,387","57.9%","±1.2"
"        With public coverage","6,961,782","±39,615","27.6%","±0.2","407,309","±12,620","30.4%","±0.9"
"    No health insurance coverage","5,789,846","±58,601","23.0%","±0.2","290,723","±11,806","21.7%","±0.9"
"    Civilian noninstitutionalized population under 18 years","6,946,969","±4,133","6,946,969","(X)","358,410","±6,817","358,410","(X)"
"    No health insurance coverage","916,522","±26,269","13.2%","±0.4","42,606","±5,350","11.9%","±1.5"
"    Civilian noninstitutionalized population 18 to 64 years","15,623,903","±7,487","15,623,903","(X)","838,546","±6,443","838,546","(X)"
"    In labor force:","11,895,527","±41,374","11,895,527","(X)","622,693","±8,459","622,693","(X)"
"        Employed:","10,907,299","±44,095","10,907,299","(X)","566,201","±9,183","566,201","(X)"
"            With health insurance coverage","7,929,479","±44,251","72.7%","±0.3","415,221","±10,653","73.3%","±1.4"
"                With private health insurance","7,599,957","±44,140","69.7%","±0.3","394,594","±11,058","69.7%","±1.4"
"                With public coverage","512,363","±10,997","4.7%","±0.1","34,204","±3,332","6.0%","±0.6"
"            No health insurance coverage","2,977,820","±32,892","27.3%","±0.3","150,980","±8,227","26.7%","±1.4"
"        Unemployed:","988,228","±22,515","988,228","(X)","56,492","±4,963","56,492","(X)"
"            With health insurance coverage","415,606","±11,590","42.1%","±1.0","23,167","±3,068","41.0%","±4.4"
"                With private health insurance","287,165","±10,472","29.1%","±1.0","15,438","±2,377","27.3%","±3.8"
"                With public coverage","144,831","±7,884","14.7%","±0.7","8,974","±1,996","15.9%","±3.3"
"            No health insurance coverage","572,622","±18,903","57.9%","±1.0","33,325","±4,057","59.0%","±4.4"
"    Not in labor force:","3,728,376","±39,798","3,728,376","(X)","215,853","±9,403","215,853","(X)"
"        With health insurance coverage","2,454,538","±29,929","65.8%","±0.5","153,925","±7,825","71.3%","±2.0"
"            With private health insurance","1,641,176","±24,554","44.0%","±0.5","96,894","±5,957","44.9%","±2.2"
"            With public coverage","1,002,055","±20,404","26.9%","±0.5","74,068","±5,940","34.3%","±2.1"
"        No health insurance coverage","1,273,838","±24,810","34.2%","±0.5","61,928","±5,193","28.7%","±2.0"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","","","",""
"    All families","(X)","(X)","14.4%","±0.3","(X)","(X)","15.8%","±1.2"
"        With related children under 18 years","(X)","(X)","21.5%","±0.4","(X)","(X)","23.5%","±2.1"
"            With related children under 5 years only","(X)","(X)","21.1%","±1.0","(X)","(X)","22.7%","±4.8"
"    Married couple families","(X)","(X)","8.4%","±0.2","(X)","(X)","8.1%","±1.0"
"        With related children under 18 years","(X)","(X)","12.5%","±0.4","(X)","(X)","11.9%","±1.8"
"            With related children under 5 years only","(X)","(X)","10.2%","±0.9","(X)","(X)","8.9%","±3.9"
"    Families with female householder, no husband present","(X)","(X)","33.9%","±0.7","(X)","(X)","33.2%","±3.2"
"        With related children under 18 years","(X)","(X)","42.3%","±1.0","(X)","(X)","42.6%","±4.1"
"            With related children under 5 years only","(X)","(X)","46.7%","±2.4","(X)","(X)","47.2%","±9.2"
"    All people","(X)","(X)","18.5%","±0.3","(X)","(X)","19.9%","±1.3"
"    Under 18 years","(X)","(X)","26.6%","±0.5","(X)","(X)","28.7%","±2.5"
"        Related children under 18 years","(X)","(X)","26.4%","±0.5","(X)","(X)","28.6%","±2.5"
"            Related children under 5 years","(X)","(X)","30.1%","±0.8","(X)","(X)","30.7%","±3.7"
"            Related children 5 to 17 years","(X)","(X)","25.0%","±0.5","(X)","(X)","27.7%","±2.5"
"    18 years and over","(X)","(X)","15.4%","±0.2","(X)","(X)","16.8%","±1.1"
"        18 to 64 years","(X)","(X)","16.1%","±0.2","(X)","(X)","17.7%","±1.2"
"        65 years and over","(X)","(X)","11.4%","±0.4","(X)","(X)","11.5%","±1.5"
"    People in families","(X)","(X)","16.9%","±0.3","(X)","(X)","18.1%","±1.5"
"    Unrelated individuals 15 years and over","(X)","(X)","27.1%","±0.4","(X)","(X)","28.3%","±1.9"
