Label (Grouping),Texas!!Estimate,Texas!!Estimate Margin of Error,Texas!!Percent,Texas!!Percent Margin of Error,"San Antonio city, Texas!!Estimate","San Antonio city, Texas!!Estimate Margin of Error","San Antonio city, Texas!!Percent","San Antonio city, Texas!!Percent Margin of Error"
"    Professional, scientific, and management, and administrative and waste management services","1,211,727","±19,255",10.80%,±0.2,"66,029","±4,941",11.20%,±0.8
"    Educational services, and health care and social assistance","2,459,381","±30,929",21.80%,±0.3,"136,277","±6,636",23.10%,±1.0
"    Arts, entertainment, and recreation, and accommodation and food services","974,282","±17,563",8.60%,±0.1,"65,565","±4,888",11.10%,±0.8
"    Other services, except public administration","601,945","±14,176",5.30%,±0.1,"33,257","±3,430",5.60%,±0.6
    Public administration,"538,231","±14,439",4.80%,±0.1,"31,565","±3,318",5.40%,±0.6
CLASS OF WORKER,,,,,,,,
    Civilian employed population 16 years and over,"11,271,851","±36,125","11,271,851",(X),"589,877","±8,640","589,877",(X)
    Private wage and salary workers,"8,742,093","±37,119",77.60%,±0.2,"462,947","±9,363",78.50%,±1.0
    Government workers,"1,719,341","±22,632",15.30%,±0.2,"91,141","±5,098",15.50%,±0.9
    Self-employed in own not incorporated business workers,"795,373","±16,653",7.10%,±0.1,"34,685","±3,104",5.90%,±0.5
    Unpaid family workers,"15,044","±2,216",0.10%,±0.1,"1,104",±586,0.20%,±0.1
INCOME AND BENEFITS (IN 2010 INFLATION-ADJUSTED DOLLARS),,,,,,,,
    Total households,"8,738,664","±20,291","8,738,664",(X),"470,223","±4,982","470,223",(X)
"    Less than $10,000","680,357","±14,066",7.80%,±0.2,"45,633","±4,040",9.70%,±0.8
"    $10,000 to $14,999","518,071","±11,950",5.90%,±0.1,"30,106","±2,773",6.40%,±0.6
"    $15,000 to $24,999","1,028,161","±15,233",11.80%,±0.2,"57,991","±3,803",12.30%,±0.8
"    $25,000 to $34,999","976,781","±16,311",11.20%,±0.2,"55,265","±4,180",11.80%,±0.9
"    $35,000 to $49,999","1,258,450","±18,422",14.40%,±0.2,"72,618","±4,005",15.40%,±0.9
"    $50,000 to $74,999","1,589,401","±18,478",18.20%,±0.2,"86,347","±4,410",18.40%,±0.9
"    $75,000 to $99,999","999,301","±15,276",11.40%,±0.2,"53,760","±3,066",11.40%,±0.6
"    $100,000 to $149,999","1,003,440","±13,990",11.50%,±0.2,"42,061","±3,083",8.90%,±0.6
"    $150,000 to $199,999","352,139","±11,285",4.00%,±0.1,"14,460","±1,977",3.10%,±0.4
"    $200,000 or more","332,563","±8,980",3.80%,±0.1,"11,982","±1,671",2.50%,±0.4
    Median household income (dollars),"48,615",±347,(X),(X),"43,758","±1,007",(X),(X)
    Mean household income (dollars),"66,756",±389,(X),(X),"58,431","±1,364",(X),(X)
    With earnings,"7,238,169","±23,469",82.80%,±0.2,"375,993","±5,658",80.00%,±0.8
        Mean earnings (dollars),"67,091",±431,(X),(X),"59,061","±1,457",(X),(X)
    With Social Security,"2,094,062","±14,470",24.00%,±0.2,"117,366","±4,138",25.00%,±0.8
        Mean Social Security income (dollars),"15,498",±84,(X),(X),"13,691",±362,(X),(X)
    With retirement income,"1,190,306","±12,143",13.60%,±0.1,"72,094","±3,980",15.30%,±0.9
        Mean retirement income (dollars),"21,701",±352,(X),(X),"25,230","±1,891",(X),(X)
    With Supplemental Security Income,"424,546","±11,161",4.90%,±0.1,"28,619","±2,523",6.10%,±0.5
        Mean Supplemental Security Income (dollars),"8,235",±105,(X),(X),"8,371",±437,(X),(X)
    With cash public assistance income,"167,089","±6,873",1.90%,±0.1,"9,813","±1,633",2.10%,±0.3
        Mean cash public assistance income (dollars),"3,561",±160,(X),(X),"4,065",±752,(X),(X)
    With Food Stamp/SNAP benefits in the past 12 months,"1,123,649","±18,084",12.90%,±0.2,"69,401","±4,141",14.80%,±0.8
    Families,"6,091,590","±24,172","6,091,590",(X),"310,191","±5,509","310,191",(X)
"    Less than $10,000","328,586","±10,229",5.40%,±0.2,"18,218","±2,255",5.90%,±0.7
"    $10,000 to $14,999","256,663","±9,404",4.20%,±0.2,"14,224","±1,756",4.60%,±0.6
"    $15,000 to $24,999","617,497","±14,579",10.10%,±0.2,"35,388","±3,106",11.40%,±1.0
"    $25,000 to $34,999","636,271","±15,388",10.40%,±0.2,"34,995","±3,225",11.30%,±1.0
"    $35,000 to $49,999","850,517","±16,846",14.00%,±0.3,"45,787","±3,418",14.80%,±1.0
"    $50,000 to $74,999","1,161,232","±16,412",19.10%,±0.3,"63,727","±3,873",20.50%,±1.2
"    $75,000 to $99,999","797,382","±14,340",13.10%,±0.2,"40,561","±2,807",13.10%,±0.9
"    $100,000 to $149,999","845,688","±13,201",13.90%,±0.2,"35,566","±2,952",11.50%,±0.9
"    $150,000 to $199,999","305,057","±9,655",5.00%,±0.2,"12,464","±1,861",4.00%,±0.6
"    $200,000 or more","292,697","±8,213",4.80%,±0.1,"9,261","±1,389",3.00%,±0.5
    Median family income (dollars),"56,575",±441,(X),(X),"51,499",±984,(X),(X)
    Mean family income (dollars),"75,506",±511,(X),(X),"66,164","±1,698",(X),(X)
    Per capita income (dollars),"23,863",±126,(X),(X),"21,425",±466,(X),(X)
    Nonfamily households,"2,647,074","±20,031","2,647,074",(X),"160,032","±5,888","160,032",(X)
    Median nonfamily income (dollars),"30,800",±275,(X),(X),"28,885","±1,603",(X),(X)
    Mean nonfamily income (dollars),"43,466",±460,(X),(X),"40,399","±2,048",(X),(X)
    Median earnings for workers (dollars),"27,034",±152,(X),(X),"25,505",±506,(X),(X)
"    Median earnings for male full-time, year-round workers (dollars)","42,044",±178,(X),(X),"36,280",±753,(X),(X)
"    Median earnings for female full-time, year-round workers (dollars)","33,689",±435,(X),(X),"31,634",±712,(X),(X)
HEALTH INSURANCE COVERAGE,,,,,,,,
    Civilian noninstitutionalized population,"24,779,450","±4,528","24,779,450",(X),"1,306,646","±4,605","1,306,646",(X)
    With health insurance coverage,"18,903,976","±55,517",76.30%,±0.2,"1,015,890","±14,903",77.70%,±1.1
        With private health insurance,"14,259,469","±72,822",57.50%,±0.3,"750,449","±17,830",57.40%,±1.4
        With public coverage,"6,682,235","±43,609",27.00%,±0.2,"409,626","±13,281",31.30%,±1.0
    No health insurance coverage,"5,875,474","±56,139",23.70%,±0.2,"290,756","±14,379",22.30%,±1.1
    Civilian noninstitutionalized population under 18 years,"6,876,022","±3,911","6,876,022",(X),"355,252","±5,157","355,252",(X)
    No health insurance coverage,"996,493","±21,286",14.50%,±0.3,"41,827","±6,113",11.80%,±1.7
    Civilian noninstitutionalized population 18 to 64 years,"15,366,701","±7,911","15,366,701",(X),"815,462","±5,850","815,462",(X)
    In labor force:,"11,761,931","±31,253","11,761,931",(X),"618,459","±7,629","618,459",(X)
        Employed:,"10,745,735","±36,210","10,745,735",(X),"564,084","±7,868","564,084",(X)
            With health insurance coverage,"7,782,170","±43,032",72.40%,±0.3,"408,467","±10,425",72.40%,±1.5
                With private health insurance,"7,461,744","±43,218",69.40%,±0.3,"382,269","±10,547",67.80%,±1.5
                With public coverage,"512,121","±12,355",4.80%,±0.1,"42,951","±3,870",7.60%,±0.7
            No health insurance coverage,"2,963,565","±31,208",27.60%,±0.3,"155,617","±8,619",27.60%,±1.5
        Unemployed:,"1,016,196","±20,930","1,016,196",(X),"54,375","±4,861","54,375",(X)
            With health insurance coverage,"409,364","±12,432",40.30%,±1.0,"24,764","±2,981",45.50%,±4.1
                With private health insurance,"293,333","±10,755",28.90%,±0.9,"16,558","±2,283",30.50%,±3.4
                With public coverage,"133,197","±6,649",13.10%,±0.6,"9,648","±1,791",17.70%,±3.0
            No health insurance coverage,"606,832","±17,022",59.70%,±1.0,"29,611","±3,588",54.50%,±4.1
    Not in labor force:,"3,604,770","±30,173","3,604,770",(X),"197,003","±6,417","197,003",(X)
        With health insurance coverage,"2,349,761","±26,136",65.20%,±0.5,"136,143","±5,361",69.10%,±2.2
            With private health insurance,"1,578,992","±23,094",43.80%,±0.5,"85,011","±4,359",43.20%,±2.3
            With public coverage,"953,730","±17,591",26.50%,±0.4,"70,416","±5,213",35.70%,±2.3
        No health insurance coverage,"1,255,009","±21,664",34.80%,±0.5,"60,860","±5,316",30.90%,±2.2
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,,,,,,,,
    All families,(X),(X),13.80%,±0.2,(X),(X),15.00%,±1.0
        With related children under 18 years,(X),(X),20.60%,±0.4,(X),(X),22.00%,±1.6
            With related children under 5 years only,(X),(X),20.50%,±1.0,(X),(X),21.80%,±4.1
    Married couple families,(X),(X),7.90%,±0.2,(X),(X),8.50%,±0.9
        With related children under 18 years,(X),(X),11.70%,±0.4,(X),(X),12.90%,±1.8
            With related children under 5 years only,(X),(X),9.70%,±0.8,(X),(X),11.70%,±4.1
"    Families with female householder, no husband present",(X),(X),33.30%,±0.7,(X),(X),31.70%,±2.9
        With related children under 18 years,(X),(X),42.00%,±0.9,(X),(X),39.70%,±3.3
            With related children under 5 years only,(X),(X),47.10%,±2.4,(X),(X),43.10%,±8.1
    All people,(X),(X),17.90%,±0.2,(X),(X),19.10%,±1.0
    Under 18 years,(X),(X),25.70%,±0.4,(X),(X),28.00%,±2.1
        Related children under 18 years,(X),(X),25.50%,±0.4,(X),(X),27.80%,±2.1
            Related children under 5 years,(X),(X),28.90%,±0.8,(X),(X),31.90%,±3.3
            Related children 5 to 17 years,(X),(X),24.20%,±0.5,(X),(X),26.20%,±2.3
    18 years and over,(X),(X),14.90%,±0.2,(X),(X),15.90%,±0.9
        18 to 64 years,(X),(X),15.60%,±0.2,(X),(X),16.20%,±1.0
        65 years and over,(X),(X),10.70%,±0.4,(X),(X),14.00%,±1.8
    People in families,(X),(X),16.30%,±0.2,(X),(X),17.60%,±1.2
    Unrelated individuals 15 years and over,(X),(X),26.80%,±0.5,(X),(X),26.40%,±1.8
