"Label (Grouping)","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","San Antonio city, Texas!!Estimate","San Antonio city, Texas!!Margin of Error","San Antonio city, Texas!!Percent","San Antonio city, Texas!!Percent Margin of Error"
"        Finance and insurance, and real estate and rental and leasing","889,961","±16,598","6.6%","±0.1","59,583","±4,478","8.3%","±0.6"
"        Professional, scientific, and management, and administrative and waste management services","1,566,465","±22,697","11.6%","±0.2","87,713","±5,207","12.2%","±0.7"
"        Educational services, and health care and social assistance","2,902,134","±30,556","21.5%","±0.2","163,293","±6,419","22.8%","±0.9"
"        Arts, entertainment, and recreation, and accommodation and food services","1,263,471","±24,644","9.4%","±0.2","88,963","±5,436","12.4%","±0.7"
"        Other services, except public administration","697,821","±17,077","5.2%","±0.1","34,886","±3,597","4.9%","±0.5"
"        Public administration","531,815","±14,696","3.9%","±0.1","25,402","±2,951","3.5%","±0.4"
"CLASS OF WORKER","","","","","","","",""
"    Civilian employed population 16 years and over","13,491,168","±36,714","13,491,168","(X)","716,405","±10,012","716,405","(X)"
"        Private wage and salary workers","10,837,232","±39,117","80.3%","±0.2","586,800","±10,764","81.9%","±0.9"
"        Government workers","1,711,428","±25,785","12.7%","±0.2","85,972","±4,971","12.0%","±0.7"
"        Self-employed in own not incorporated business workers","916,067","±19,753","6.8%","±0.1","42,021","±3,127","5.9%","±0.4"
"        Unpaid family workers","26,441","±3,269","0.2%","±0.1","1,612","±733","0.2%","±0.1"
"INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)","","","","","","","",""
"    Total households","9,776,083","±21,679","9,776,083","(X)","509,964","±5,167","509,964","(X)"
"        Less than $10,000","632,765","±12,943","6.5%","±0.1","51,106","±3,776","10.0%","±0.7"
"        $10,000 to $14,999","416,618","±11,822","4.3%","±0.1","27,270","±2,858","5.3%","±0.6"
"        $15,000 to $24,999","881,450","±14,778","9.0%","±0.1","54,936","±3,865","10.8%","±0.7"
"        $25,000 to $34,999","893,469","±16,537","9.1%","±0.2","54,441","±3,884","10.7%","±0.7"
"        $35,000 to $49,999","1,239,725","±19,783","12.7%","±0.2","71,395","±4,306","14.0%","±0.8"
"        $50,000 to $74,999","1,730,336","±22,386","17.7%","±0.2","92,861","±5,864","18.2%","±1.1"
"        $75,000 to $99,999","1,197,757","±18,488","12.3%","±0.2","57,224","±3,682","11.2%","±0.7"
"        $100,000 to $149,999","1,445,411","±21,363","14.8%","±0.2","59,482","±3,658","11.7%","±0.7"
"        $150,000 to $199,999","632,119","±12,683","6.5%","±0.1","21,711","±2,306","4.3%","±0.5"
"        $200,000 or more","706,433","±13,318","7.2%","±0.1","19,538","±1,778","3.8%","±0.4"
"        Median household income (dollars)","60,629","±279","(X)","(X)","49,024","±1,430","(X)","(X)"
"        Mean household income (dollars)","85,780","±478","(X)","(X)","67,179","±1,317","(X)","(X)"
"        With earnings","8,038,971","±24,758","82.2%","±0.2","400,851","±6,369","78.6%","±0.9"
"            Mean earnings (dollars)","86,803","±523","(X)","(X)","69,081","±1,490","(X)","(X)"
"        With Social Security","2,532,717","±16,416","25.9%","±0.2","132,048","±4,128","25.9%","±0.8"
"            Mean Social Security income (dollars)","18,531","±125","(X)","(X)","16,508","±440","(X)","(X)"
"        With retirement income","1,437,444","±19,124","14.7%","±0.2","77,996","±3,579","15.3%","±0.7"
"            Mean retirement income (dollars)","27,013","±587","(X)","(X)","27,543","±1,200","(X)","(X)"
"        With Supplemental Security Income","472,066","±11,373","4.8%","±0.1","33,919","±3,182","6.7%","±0.6"
"            Mean Supplemental Security Income (dollars)","9,124","±149","(X)","(X)","8,612","±329","(X)","(X)"
"        With cash public assistance income","150,811","±6,427","1.5%","±0.1","10,451","±1,681","2.0%","±0.3"
"            Mean cash public assistance income (dollars)","2,793","±197","(X)","(X)","2,540","±651","(X)","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","1,166,233","±20,236","11.9%","±0.2","79,120","±4,681","15.5%","±0.9"
"    Families","6,730,268","±29,102","6,730,268","(X)","313,080","±6,137","313,080","(X)"
"        Less than $10,000","283,007","±10,271","4.2%","±0.2","16,787","±2,294","5.4%","±0.7"
"        $10,000 to $14,999","180,692","±8,685","2.7%","±0.1","10,445","±1,986","3.3%","±0.6"
"        $15,000 to $24,999","480,981","±11,497","7.1%","±0.2","29,154","±2,779","9.3%","±0.9"
"        $25,000 to $34,999","555,783","±12,650","8.3%","±0.2","31,498","±2,979","10.1%","±0.9"
"        $35,000 to $49,999","797,203","±17,040","11.8%","±0.2","41,812","±3,487","13.4%","±1.1"
"        $50,000 to $74,999","1,193,911","±20,377","17.7%","±0.3","59,114","±4,449","18.9%","±1.3"
"        $75,000 to $99,999","904,719","±17,415","13.4%","±0.3","42,770","±2,807","13.7%","±0.9"
"        $100,000 to $149,999","1,171,495","±18,244","17.4%","±0.3","46,303","±3,415","14.8%","±1.1"
"        $150,000 to $199,999","545,686","±11,953","8.1%","±0.2","18,444","±2,125","5.9%","±0.7"
"        $200,000 or more","616,791","±13,018","9.2%","±0.2","16,753","±1,579","5.4%","±0.5"
"        Median family income (dollars)","71,868","±468","(X)","(X)","60,689","±1,373","(X)","(X)"
"        Mean family income (dollars)","98,400","±614","(X)","(X)","80,167","±2,168","(X)","(X)"
"    Per capita income (dollars)","30,641","±163","(X)","(X)","24,684","±421","(X)","(X)"
"    Nonfamily households","3,045,815","±27,390","3,045,815","(X)","196,884","±6,868","196,884","(X)"
"        Median nonfamily income (dollars)","37,848","±587","(X)","(X)","32,029","±1,034","(X)","(X)"
"        Mean nonfamily income (dollars)","53,805","±681","(X)","(X)","43,530","±1,850","(X)","(X)"
"    Median earnings for workers (dollars)","33,526","±296","(X)","(X)","28,793","±834","(X)","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","50,394","±225","(X)","(X)","40,703","±880","(X)","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","40,499","±231","(X)","(X)","36,074","±1,240","(X)","(X)"
"HEALTH INSURANCE COVERAGE","","","","","","","",""
"    Civilian noninstitutionalized population","28,243,191","±4,197","28,243,191","(X)","1,516,187","±2,076","1,516,187","(X)"
"        With health insurance coverage","23,240,298","±60,153","82.3%","±0.2","1,256,850","±12,791","82.9%","±0.8"
"            With private health insurance","17,466,681","±81,639","61.8%","±0.3","891,630","±17,436","58.8%","±1.1"
"            With public coverage","8,200,455","±43,984","29.0%","±0.2","507,825","±14,558","33.5%","±1.0"
"        No health insurance coverage","5,002,893","±59,840","17.7%","±0.2","259,337","±12,607","17.1%","±0.8"
"    Civilian noninstitutionalized population under 19 years","7,825,350","±9,265","7,825,350","(X)","402,647","±4,929","402,647","(X)"
"        No health insurance coverage","872,794","±23,964","11.2%","±0.3","32,750","±4,397","8.1%","±1.1"
"    Civilian noninstitutionalized population 19 to 64 years","16,903,213","±11,087","16,903,213","(X)","928,192","±5,693","928,192","(X)"
"        In labor force:","13,103,474","±30,922","13,103,474","(X)","704,798","±9,411","704,798","(X)"
"            Employed:","12,493,859","±34,360","12,493,859","(X)","664,535","±9,929","664,535","(X)"
"                With health insurance coverage","9,854,513","±45,089","78.9%","±0.3","525,508","±11,790","79.1%","±1.2"
"                    With private health insurance","9,436,878","±46,279","75.5%","±0.3","499,620","±11,405","75.2%","±1.2"
"                    With public coverage","691,652","±15,316","5.5%","±0.1","48,472","±4,107","7.3%","±0.6"
"                No health insurance coverage","2,639,346","±32,593","21.1%","±0.3","139,027","±8,256","20.9%","±1.2"
"            Unemployed:","609,615","±16,986","609,615","(X)","40,263","±4,920","40,263","(X)"
"                With health insurance coverage","312,172","±11,205","51.2%","±1.4","21,444","±3,570","53.3%","±6.1"
"                    With private health insurance","236,913","±10,204","38.9%","±1.3","13,651","±2,607","33.9%","±5.8"
"                    With public coverage","88,447","±5,829","14.5%","±0.9","8,728","±2,456","21.7%","±5.1"
"                No health insurance coverage","297,443","±12,617","48.8%","±1.4","18,819","±3,388","46.7%","±6.1"
"        Not in labor force:","3,799,739","±28,961","3,799,739","(X)","223,394","±8,846","223,394","(X)"
"            With health insurance coverage","2,674,521","±27,955","70.4%","±0.6","160,240","±8,086","71.7%","±2.2"
"                With private health insurance","1,830,680","±25,436","48.2%","±0.7","97,265","±6,828","43.5%","±2.5"
"                With public coverage","1,048,839","±21,213","27.6%","±0.5","79,530","±6,117","35.6%","±2.4"
"            No health insurance coverage","1,125,218","±23,549","29.6%","±0.6","63,154","±5,553","28.3%","±2.2"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","","","",""
"    All families","(X)","(X)","11.4%","±0.2","(X)","(X)","15.6%","±1.0"
"        With related children of the householder under 18 years","(X)","(X)","16.7%","±0.4","(X)","(X)","23.7%","±1.8"
"            With related children of the householder under 5 years only","(X)","(X)","14.8%","±0.9","(X)","(X)","25.5%","±4.9"
"    Married couple families","(X)","(X)","6.5%","±0.2","(X)","(X)","10.5%","±1.1"
"        With related children of the householder under 18 years","(X)","(X)","8.8%","±0.4","(X)","(X)","14.9%","±2.0"
"            With related children of the householder under 5 years only","(X)","(X)","6.5%","±0.8","(X)","(X)","11.7%","±3.9"
"    Families with female householder, no husband present","(X)","(X)","28.6%","±0.7","(X)","(X)","29.9%","±2.9"
"        With related children of the householder under 18 years","(X)","(X)","37.0%","±0.9","(X)","(X)","41.4%","±4.3"
"            With related children of the householder under 5 years only","(X)","(X)","39.1%","±2.6","(X)","(X)","51.9%","±11.0"
"    All people","(X)","(X)","14.9%","±0.2","(X)","(X)","20.0%","±1.0"
"    Under 18 years","(X)","(X)","21.1%","±0.5","(X)","(X)","29.5%","±2.4"
"        Related children of the householder under 18 years","(X)","(X)","20.9%","±0.5","(X)","(X)","29.3%","±2.4"
"            Related children of the householder under 5 years","(X)","(X)","22.6%","±0.8","(X)","(X)","34.2%","±4.1"
"            Related children of the householder 5 to 17 years","(X)","(X)","20.2%","±0.5","(X)","(X)","27.3%","±2.6"
"    18 years and over","(X)","(X)","12.7%","±0.2","(X)","(X)","16.8%","±0.8"
"    18 to 64 years","(X)","(X)","13.0%","±0.2","(X)","(X)","17.5%","±0.9"
"    65 years and over","(X)","(X)","11.1%","±0.4","(X)","(X)","13.4%","±1.4"
"    People in families","(X)","(X)","13.0%","±0.3","(X)","(X)","17.6%","±1.2"
"    Unrelated individuals 15 years and over","(X)","(X)","24.9%","±0.4","(X)","(X)","29.8%","±1.8"
